2026-03-06 11:47:21,616 | WARNING | start
2026-03-06 11:47:21,616 | WARNING | end
2026-03-06 11:47:36,509 | WARNING | start
2026-03-06 11:47:36,512 | WARNING | end
2026-03-06 11:48:49,976 | WARNING | start
2026-03-06 11:48:49,977 | WARNING | end
2026-03-06 11:48:49,977 | WARNING | Time taken: 0.0005092620849609375
2026-03-06 11:50:15,441 | WARNING | Time taken: 0.0002827644348144531
2026-03-06 11:50:52,621 | WARNING | start
2026-03-06 11:50:52,621 | WARNING | Time taken: 0.0002894401550292969
2026-03-06 11:50:52,622 | WARNING | end
2026-03-06 11:51:28,022 | WARNING | start
2026-03-06 11:51:28,023 | WARNING | end
2026-03-06 11:51:28,023 | WARNING | Time taken: 0.0006856918334960938
2026-03-06 11:52:17,570 | WARNING | logging start
2026-03-06 11:52:17,576 | WARNING | logging end
2026-03-06 11:52:17,576 | WARNING | Time taken: 0.005612850189208984
2026-03-06 11:52:31,231 | WARNING | logging start
2026-03-06 11:52:31,231 | WARNING | Time taken: 4.220008850097656e-05
2026-03-06 11:52:31,232 | WARNING | logging end
2026-03-06 13:16:46,444 | WARNING | logging start
2026-03-06 13:16:46,445 | WARNING | logging end
2026-03-06 13:17:08,849 | WARNING | logging start
2026-03-06 13:17:25,535 | WARNING | logging start
2026-03-06 13:17:25,537 | WARNING | Time taken: 4.9591064453125e-05
2026-03-06 13:17:25,537 | WARNING | logging end
2026-03-06 13:18:52,118 | WARNING | logging start
2026-03-06 13:18:52,119 | WARNING | Time taken: 6.29425048828125e-05
2026-03-06 13:18:52,119 | WARNING | logging end
2026-03-06 13:20:13,224 | WARNING | logging start
2026-03-06 13:20:22,240 | WARNING | logging start
2026-03-06 13:20:22,240 | WARNING | Time taken: 5.698204040527344e-05
2026-03-06 13:20:22,241 | WARNING | logging end
2026-03-06 13:20:22,241 | WARNING | logging start
2026-03-06 13:20:22,241 | WARNING | Time taken: 1.430511474609375e-06
2026-03-06 13:20:22,242 | WARNING | logging end
2026-03-06 13:29:56,972 | WARNING | logging start
2026-03-06 13:29:56,972 | WARNING | Time taken: 0.000102996826171875
2026-03-06 13:29:56,973 | WARNING | logging end
2026-03-06 13:29:56,973 | WARNING | logging start
2026-03-06 13:29:56,973 | WARNING | Time taken: 3.337860107421875e-06
2026-03-06 13:29:56,973 | WARNING | logging end
2026-03-06 13:31:49,311 | WARNING | logging start
2026-03-06 13:31:49,312 | WARNING | Time taken: 0.00012731552124023438
2026-03-06 13:31:49,312 | WARNING | logging end
2026-03-06 13:31:49,313 | WARNING | logging start
2026-03-06 13:31:49,313 | WARNING | Time taken: 1.6689300537109375e-06
2026-03-06 13:31:49,313 | WARNING | logging end
2026-03-06 13:36:43,755 | WARNING | logging start
2026-03-06 13:36:43,756 | WARNING | logging end
2026-03-06 13:37:48,304 | WARNING | logging start
2026-03-06 13:37:48,304 | WARNING | logging end
2026-03-06 13:38:36,904 | WARNING | logging start
2026-03-06 13:38:36,905 | WARNING | logging end
2026-03-06 13:38:36,905 | WARNING | Time taken: 0.0008580684661865234
2026-03-06 13:40:28,040 | WARNING | logging start
2026-03-06 13:40:28,041 | WARNING | logging end
2026-03-06 13:40:28,041 | WARNING | Time taken: 0.0007696151733398438
2026-03-06 13:40:55,480 | WARNING | logging start
2026-03-06 13:40:55,481 | WARNING | logging end
2026-03-06 13:40:55,481 | WARNING | Time taken: 0.0007960796356201172
2026-03-06 13:44:05,384 | WARNING | logging start
2026-03-06 13:44:05,385 | WARNING | logging end
2026-03-06 13:44:05,386 | WARNING | Time taken: 0.0017147064208984375
